complaint_id,timestamp,area_id,area_name,district,state,latitude,longitude,transaction_type,complaint_category,transaction_amount,transaction_amount_bucket,time_to_report_mins,hour,day_of_week,is_weekend,previous_incident_count,area_atm_density,is_night_window,area_baseline_risk_score,label_generation_prob,target_cash_withdrawal_event,day_name,sin_hour,cos_hour,sin_day,cos_day,log_time_to_report,log_transaction_amount
NCRP-2026-SYN-000030,2026-06-25 22:02:39,AREA-FI-144,Financial-Hub-District-A Commercial ATM Hub Sector-19,Financial-Hub-District-A,State-West-Coast,19.114922,72.86428,AEPS_SPOOF,JOB_OFFER_FRAUD,2000.0,LOW_UNDER_10K,155,22,3,0,12,53,1,0.595,0.98,0,Thursday,-0.5,0.866025,0.433884,-0.900969,5.0499,7.6014
NCRP-2026-SYN-000031,2026-06-04 19:37:36,AREA-CE-188,Central-Grid-District-C Marketplace & Trade Center Sector-3,Central-Grid-District-C,State-Central-Valley,21.039011,78.989069,CARD_SKIMMING,PHISHING_PORTAL,6400.0,LOW_UNDER_10K,181,19,3,0,11,45,0,0.761,0.98,1,Thursday,-0.965926,0.258819,0.433884,-0.900969,5.204,8.7642
NCRP-2026-SYN-000032,2026-07-30 12:16:13,AREA-IN-176,Industrial-Belt-District-F Industrial Cyber Cluster Sector-6,Industrial-Belt-District-F,State-East-Zone,22.610409,88.307896,UPI_FRAUD,JOB_OFFER_FRAUD,12900.0,MID_10K_TO_50K,128,12,3,0,11,64,0,0.657,0.9234,1,Thursday,0.0,-1.0,0.433884,-0.900969,4.8598,9.4651
NCRP-2026-SYN-000033,2026-08-18 21:15:16,AREA-CE-188,Central-Grid-District-C Marketplace & Trade Center Sector-3,Central-Grid-District-C,State-Central-Valley,21.039357,78.978474,UPI_FRAUD,PHISHING_PORTAL,12500.0,MID_10K_TO_50K,386,21,1,0,13,45,1,0.761,0.98,1,Tuesday,-0.707107,0.707107,0.781831,0.62349,5.9584,9.4336
NCRP-2026-SYN-000034,2026-07-14 16:41:19,AREA-FI-138,Financial-Hub-District-A Tech Park Outskirts Sector-13,Financial-Hub-District-A,State-West-Coast,18.825333,72.796231,NET_BANKING_PHISHING,INVESTMENT_MULE_SCAM,34700.0,MID_10K_TO_50K,215,16,1,0,7,17,0,0.677,0.7791,0,Tuesday,-0.866025,-0.5,0.781831,0.62349,5.3753,10.4545
NCRP-2026-SYN-000035,2026-07-22 11:48:59,AREA-FI-140,Financial-Hub-District-C Industrial Cyber Cluster Sector-15,Financial-Hub-District-C,State-West-Coast,19.076122,72.845293,NET_BANKING_PHISHING,SEXTORTION_BLACKMAIL,50700.0,HIGH_50K_TO_200K,137,11,2,0,16,64,0,0.945,0.98,0,Wednesday,0.258819,-0.965926,0.974928,-0.222521,4.9273,10.8337
NCRP-2026-SYN-000036,2026-06-03 15:39:36,AREA-CA-117,Capital-Metro-District-E Marketplace & Trade Center Sector-17,Capital-Metro-District-E,State-National-Capital,28.614269,77.402538,NET_BANKING_PHISHING,PHISHING_PORTAL,10300.0,MID_10K_TO_50K,70,15,2,0,10,26,0,0.503,0.687,0,Wednesday,-0.707107,-0.707107,0.974928,-0.222521,4.2627,9.24
NCRP-2026-SYN-000037,2026-06-06 17:13:32,AREA-CE-186,Central-Grid-District-A Tech Park Outskirts Sector-1,Central-Grid-District-A,State-Central-Valley,21.064096,79.076955,UPI_FRAUD,INVESTMENT_MULE_SCAM,3500.0,LOW_UNDER_10K,673,17,5,1,8,16,0,0.378,0.9018,1,Saturday,-0.965926,-0.258819,-0.974928,-0.222521,6.5132,8.1608
NCRP-2026-SYN-000038,2026-06-27 12:22:56,AREA-FI-143,Financial-Hub-District-F Marketplace & Trade Center Sector-18,Financial-Hub-District-F,State-West-Coast,19.00995,72.823874,AEPS_SPOOF,PHISHING_PORTAL,2000.0,LOW_UNDER_10K,189,12,5,1,7,45,0,0.549,0.9725,0,Saturday,0.0,-1.0,-0.974928,-0.222521,5.247,7.6014
NCRP-2026-SYN-000039,2026-06-02 01:23:18,AREA-CA-107,Capital-Metro-District-A Commercial ATM Hub Sector-7,Capital-Metro-District-A,State-National-Capital,28.669443,77.224221,UPI_FRAUD,PHISHING_PORTAL,5300.0,LOW_UNDER_10K,1033,1,1,0,10,34,1,0.622,0.98,1,Tuesday,0.258819,0.965926,0.781831,0.62349,6.9412,8.5757
NCRP-2026-SYN-000040,2026-06-14 13:34:45,AREA-IN-179,Industrial-Belt-District-C High-Density Transit Node Sector-9,Industrial-Belt-District-C,State-East-Zone,22.572115,88.497939,UPI_FRAUD,JOB_OFFER_FRAUD,11000.0,MID_10K_TO_50K,48,13,6,1,21,30,0,0.846,0.9741,1,Sunday,-0.258819,-0.965926,-0.781831,0.62349,3.8918,9.3057
NCRP-2026-SYN-000041,2026-07-02 22:51:41,AREA-TE-158,Tech-Corridor-District-B Commercial ATM Hub Sector-8,Tech-Corridor-District-B,State-South-Plateau,13.023863,77.502413,SIM_CLONE_FRAUD,PHISHING_PORTAL,5000.0,LOW_UNDER_10K,89,22,3,0,10,47,1,0.75,0.98,0,Thursday,-0.5,0.866025,0.433884,-0.900969,4.4998,8.5174
NCRP-2026-SYN-000042,2026-07-31 14:52:35,AREA-IN-179,Industrial-Belt-District-C High-Density Transit Node Sector-9,Industrial-Belt-District-C,State-East-Zone,22.566077,88.495981,CARD_SKIMMING,INVESTMENT_MULE_SCAM,55800.0,HIGH_50K_TO_200K,187,14,4,0,14,30,0,0.846,0.98,1,Friday,-0.5,-0.866025,-0.433884,-0.900969,5.2364,10.9295
NCRP-2026-SYN-000043,2026-07-02 05:06:56,AREA-TE-155,Tech-Corridor-District-E Suburban Residential Zone Sector-5,Tech-Corridor-District-E,State-South-Plateau,12.90041,77.632127,UPI_FRAUD,INVESTMENT_MULE_SCAM,11900.0,MID_10K_TO_50K,569,5,3,0,7,13,0,0.477,0.7548,0,Thursday,0.965926,0.258819,0.433884,-0.900969,6.3456,9.3844
NCRP-2026-SYN-000044,2026-06-11 11:56:06,AREA-FI-131,Financial-Hub-District-F Commercial ATM Hub Sector-6,Financial-Hub-District-F,State-West-Coast,19.110941,73.183407,UPI_FRAUD,JOB_OFFER_FRAUD,18800.0,MID_10K_TO_50K,141,11,3,0,11,51,0,0.63,0.98,0,Thursday,0.258819,-0.965926,0.433884,-0.900969,4.9558,9.8417
NCRP-2026-SYN-000045,2026-08-03 10:18:38,AREA-FI-127,Financial-Hub-District-B University Campus Zone Sector-2,Financial-Hub-District-B,State-West-Coast,19.120537,72.808021,CARD_SKIMMING,JOB_OFFER_FRAUD,9900.0,LOW_UNDER_10K,65,10,0,0,11,12,0,0.294,0.5721,0,Monday,0.5,-0.866025,0.0,1.0,4.1897,9.2004
NCRP-2026-SYN-000046,2026-06-20 22:13:43,AREA-CA-105,Capital-Metro-District-E Tech Park Outskirts Sector-5,Capital-Metro-District-E,State-National-Capital,28.569912,77.188555,UPI_FRAUD,PHISHING_PORTAL,16200.0,MID_10K_TO_50K,145,22,5,1,10,25,1,0.572,0.98,1,Saturday,-0.5,0.866025,-0.974928,-0.222521,4.9836,9.6928
NCRP-2026-SYN-000047,2026-08-14 02:32:31,AREA-IN-175,Industrial-Belt-District-E Commercial ATM Hub Sector-5,Industrial-Belt-District-E,State-East-Zone,22.607981,88.482824,UPI_FRAUD,PHISHING_PORTAL,42000.0,MID_10K_TO_50K,280,2,4,0,11,44,1,0.699,0.98,0,Friday,0.5,0.866025,-0.433884,-0.900969,5.6384,10.6454
NCRP-2026-SYN-000048,2026-06-26 01:54:03,AREA-FI-140,Financial-Hub-District-C Industrial Cyber Cluster Sector-15,Financial-Hub-District-C,State-West-Coast,19.085196,72.845011,NET_BANKING_PHISHING,PHISHING_PORTAL,89300.0,HIGH_50K_TO_200K,396,1,4,0,15,64,1,0.945,0.98,1,Friday,0.258819,0.965926,-0.433884,-0.900969,5.9839,11.3998
NCRP-2026-SYN-000049,2026-06-05 21:53:17,AREA-IN-173,Industrial-Belt-District-C Industrial Cyber Cluster Sector-3,Industrial-Belt-District-C,State-East-Zone,22.438218,88.378818,UPI_FRAUD,JOB_OFFER_FRAUD,7400.0,LOW_UNDER_10K,153,21,4,0,15,40,1,0.939,0.98,1,Friday,-0.707107,0.707107,-0.433884,-0.900969,5.037,8.9094
NCRP-2026-SYN-000050,2026-05-30 15:49:08,AREA-IN-183,Industrial-Belt-District-A Industrial Cyber Cluster Sector-13,Industrial-Belt-District-A,State-East-Zone,22.641317,88.470085,SIM_CLONE_FRAUD,JOB_OFFER_FRAUD,14700.0,MID_10K_TO_50K,109,15,5,1,7,54,0,0.715,0.98,1,Saturday,-0.707107,-0.707107,-0.974928,-0.222521,4.7005,9.5957
NCRP-2026-SYN-000051,2026-08-14 02:10:47,AREA-CA-111,Capital-Metro-District-E Suburban Residential Zone Sector-11,Capital-Metro-District-E,State-National-Capital,28.645715,77.166699,SIM_CLONE_FRAUD,INVESTMENT_MULE_SCAM,25300.0,MID_10K_TO_50K,99,2,4,0,5,15,1,0.299,0.7794,1,Friday,0.5,0.866025,-0.433884,-0.900969,4.6052,10.1386
NCRP-2026-SYN-000052,2026-07-20 22:27:35,AREA-CE-192,Central-Grid-District-A High-Density Transit Node Sector-7,Central-Grid-District-A,State-Central-Valley,21.248055,78.919665,AEPS_SPOOF,PHISHING_PORTAL,2000.0,LOW_UNDER_10K,20,22,0,0,7,28,1,0.437,0.8933,0,Monday,-0.5,0.866025,0.0,1.0,3.0445,7.6014
NCRP-2026-SYN-000053,2026-05-26 17:56:44,AREA-CA-108,Capital-Metro-District-B Tech Park Outskirts Sector-8,Capital-Metro-District-B,State-National-Capital,28.572659,77.289436,CARD_SKIMMING,INVESTMENT_MULE_SCAM,124400.0,HIGH_50K_TO_200K,112,17,1,0,4,19,0,0.53,0.6568,0,Tuesday,-0.965926,-0.258819,0.781831,0.62349,4.7274,11.7313
NCRP-2026-SYN-000054,2026-06-13 06:53:23,AREA-CA-118,Capital-Metro-District-F Commercial ATM Hub Sector-18,Capital-Metro-District-F,State-National-Capital,28.703919,77.26949,NET_BANKING_PHISHING,INVESTMENT_MULE_SCAM,90500.0,HIGH_50K_TO_200K,102,6,5,1,11,39,0,0.905,0.98,1,Saturday,1.0,0.0,-0.974928,-0.222521,4.6347,11.4131
NCRP-2026-SYN-000055,2026-08-07 23:27:08,AREA-FI-149,Financial-Hub-District-F Industrial Cyber Cluster Sector-24,Financial-Hub-District-F,State-West-Coast,19.034275,72.894688,UPI_FRAUD,INVESTMENT_MULE_SCAM,18600.0,MID_10K_TO_50K,153,23,4,0,7,47,1,0.534,0.98,1,Friday,-0.258819,0.965926,-0.433884,-0.900969,5.037,9.831
NCRP-2026-SYN-000056,2026-05-30 15:57:59,AREA-TE-152,Tech-Corridor-District-B Industrial Cyber Cluster Sector-2,Tech-Corridor-District-B,State-South-Plateau,12.984478,77.598703,UPI_FRAUD,PHISHING_PORTAL,77500.0,HIGH_50K_TO_200K,300,15,5,1,5,37,0,0.552,0.98,1,Saturday,-0.707107,-0.707107,-0.974928,-0.222521,5.7071,11.258
NCRP-2026-SYN-000057,2026-05-30 02:13:43,AREA-CA-125,Capital-Metro-District-A Tech Park Outskirts Sector-25,Capital-Metro-District-A,State-National-Capital,28.692557,77.241862,SIM_CLONE_FRAUD,INVESTMENT_MULE_SCAM,57000.0,HIGH_50K_TO_200K,436,2,5,1,10,24,1,0.517,0.9446,0,Saturday,0.5,0.866025,-0.974928,-0.222521,6.0799,10.9508
NCRP-2026-SYN-000058,2026-06-25 00:22:49,AREA-TE-161,Tech-Corridor-District-E University Campus Zone Sector-11,Tech-Corridor-District-E,State-South-Plateau,12.949088,77.645907,SIM_CLONE_FRAUD,KYC_EXPIRY_SPOOF,15200.0,MID_10K_TO_50K,73,0,3,0,9,15,1,0.579,0.9625,1,Thursday,0.0,1.0,0.433884,-0.900969,4.3041,9.6291
NCRP-2026-SYN-000059,2026-08-04 04:26:39,AREA-CE-187,Central-Grid-District-B Commercial ATM Hub Sector-2,Central-Grid-District-B,State-Central-Valley,21.132761,79.056312,NET_BANKING_PHISHING,JOB_OFFER_FRAUD,4200.0,LOW_UNDER_10K,389,4,1,0,10,52,1,0.726,0.98,1,Tuesday,0.866025,0.5,0.781831,0.62349,5.9661,8.3431
NCRP-2026-SYN-000060,2026-06-13 00:15:55,AREA-TE-159,Tech-Corridor-District-C Marketplace & Trade Center Sector-9,Tech-Corridor-District-C,State-South-Plateau,13.068926,77.601356,AEPS_SPOOF,JOB_OFFER_FRAUD,5000.0,LOW_UNDER_10K,119,0,5,1,9,41,1,0.424,0.98,1,Saturday,0.0,1.0,-0.974928,-0.222521,4.7875,8.5174
NCRP-2026-SYN-000061,2026-06-14 03:51:11,AREA-CA-118,Capital-Metro-District-F Commercial ATM Hub Sector-18,Capital-Metro-District-F,State-National-Capital,28.711611,77.261563,CARD_SKIMMING,PHISHING_PORTAL,52500.0,HIGH_50K_TO_200K,701,3,6,1,15,39,1,0.905,0.98,1,Sunday,0.707107,0.707107,-0.781831,0.62349,6.5539,10.8686
NCRP-2026-SYN-000062,2026-07-16 17:47:59,AREA-CA-108,Capital-Metro-District-B Tech Park Outskirts Sector-8,Capital-Metro-District-B,State-National-Capital,28.579982,77.291195,UPI_FRAUD,JOB_OFFER_FRAUD,11200.0,MID_10K_TO_50K,70,17,3,0,9,19,0,0.53,0.7973,0,Thursday,-0.965926,-0.258819,0.433884,-0.900969,4.2627,9.3238
NCRP-2026-SYN-000063,2026-07-06 23:26:51,AREA-IN-171,Industrial-Belt-District-A High-Density Transit Node Sector-1,Industrial-Belt-District-A,State-East-Zone,22.565097,88.298128,UPI_FRAUD,SEXTORTION_BLACKMAIL,29800.0,MID_10K_TO_50K,26,23,0,0,5,26,1,0.389,0.8435,0,Monday,-0.258819,0.965926,0.0,1.0,3.2958,10.3023
NCRP-2026-SYN-000064,2026-08-18 03:51:15,AREA-IN-181,Industrial-Belt-District-E Commercial ATM Hub Sector-11,Industrial-Belt-District-E,State-East-Zone,22.533171,88.299952,CARD_SKIMMING,INVESTMENT_MULE_SCAM,80300.0,HIGH_50K_TO_200K,23,3,1,0,7,40,1,0.676,0.98,1,Tuesday,0.707107,0.707107,0.781831,0.62349,3.1781,11.2935
NCRP-2026-SYN-000065,2026-06-28 09:44:06,AREA-FI-135,Financial-Hub-District-D Industrial Cyber Cluster Sector-10,Financial-Hub-District-D,State-West-Coast,19.008278,72.870663,AEPS_SPOOF,KYC_EXPIRY_SPOOF,2000.0,LOW_UNDER_10K,19,9,6,1,7,58,0,0.463,0.9544,0,Sunday,0.707107,-0.707107,-0.781831,0.62349,2.9957,7.6014
NCRP-2026-SYN-000066,2026-07-12 02:54:30,AREA-TE-164,Tech-Corridor-District-B Tech Park Outskirts Sector-14,Tech-Corridor-District-B,State-South-Plateau,12.942617,77.52212,UPI_FRAUD,KYC_EXPIRY_SPOOF,5000.0,LOW_UNDER_10K,170,2,6,1,10,17,1,0.562,0.98,1,Sunday,0.5,0.866025,-0.781831,0.62349,5.1417,8.5174
NCRP-2026-SYN-000067,2026-06-22 14:58:29,AREA-IN-176,Industrial-Belt-District-F Industrial Cyber Cluster Sector-6,Industrial-Belt-District-F,State-East-Zone,22.601764,88.314659,UPI_FRAUD,PHISHING_PORTAL,7900.0,LOW_UNDER_10K,44,14,0,0,5,64,0,0.657,0.7305,1,Monday,-0.5,-0.866025,0.0,1.0,3.8067,8.9747
NCRP-2026-SYN-000068,2026-07-08 13:50:55,AREA-CA-105,Capital-Metro-District-E Tech Park Outskirts Sector-5,Capital-Metro-District-E,State-National-Capital,28.572551,77.176289,NET_BANKING_PHISHING,PHISHING_PORTAL,15200.0,MID_10K_TO_50K,21,13,2,0,9,25,0,0.572,0.6071,0,Wednesday,-0.258819,-0.965926,0.974928,-0.222521,3.091,9.6291
